Phenotype Name,Code Type,Code Description,Code
Non-brain cancer,Read2,"[M]Hodgkin's disease, mixed cellularity",BBj2.00
Non-brain cancer,Read2,"[M]Hodgkin's disease, nodular sclerosis NOS",BBj6.00
Non-brain cancer,Read2,"[M]Hodgkin's disease, nodular sclerosis, cellular phase",BBj7.00
Non-brain cancer,Read2,"[M]Hodgkin's disease,lymphocytic depletion,diffuse fibrosis",BBj4.00
Non-brain cancer,Read2,[M]Hodgkin's granuloma,BBj9.00
Non-brain cancer,Read2,[M]Hutchinson's melanotic freckle,BBEF.00
Non-brain cancer,Read2,[M]Hypernephroma,BB5a012
Non-brain cancer,Read2,[M]Infiltrating duct and lobular carcinoma,BB91100
Non-brain cancer,Read2,[M]Infiltrating duct carcinoma,BB91.00
Non-brain cancer,Read2,"[M]Insulinoma, malignant",BB5B300
Non-brain cancer,Read2,[M]Intracystic carcinoma NOS,BB9M.00
Non-brain cancer,Read2,[M]Intraductal papillary adenocarcinoma with invasion,BB91000
Non-brain cancer,Read2,[M]Intraosseous carcinoma,BBZ2.11
Non-brain cancer,Read2,[M]Islet cell carcinoma,BB5B100
Non-brain cancer,Read2,[M]Juvenila melanoma,BBEN.11
Non-brain cancer,Read2,[M]Juvenile breast carcinoma,BB94.00
Non-brain cancer,Read2,[M]Juvenile myelomonocytic leukaemia,BBr6900
Non-brain cancer,Read2,[M]Juxtacortical chondrosarcoma,BBW6.00
Non-brain cancer,Read2,[M]Juxtacortical osteogenic sarcoma,BBV..11
Non-brain cancer,Read2,[M]Lentigo maligna,BBEF.11
Non-brain cancer,Read2,[M]Lentigo maligna melanoma,BBEG.11
Non-brain cancer,Read2,[M]Leukaemia NOS,BBr0000
Non-brain cancer,Read2,[M]Leukaemia NOS,BBrz.00
Non-brain cancer,Read2,"[M]Leukaemia unspecified, NOS",BBr0z00
Non-brain cancer,Read2,[M]Leukaemias,BBr..00
Non-brain cancer,Read2,[M]Leukaemias unspecified,BBr0.00
Non-brain cancer,Read2,[M]Liver cell carcinoma,BB5D513
Non-brain cancer,Read2,[M]Lymphatic leukaemia,BBr2011
Non-brain cancer,Read2,[M]Lymphoblastic lymphoma NOS,BBgG.12
Non-brain cancer,Read2,[M]Lymphoblastic lymphosarcoma NOS,BBgG.11
Non-brain cancer,Read2,[M]Lymphoblastoma NOS,BBgG.13
Non-brain cancer,Read2,[M]Lymphocytic lymphoma NOS,BBgC.11
Non-brain cancer,Read2,[M]Lymphocytic lymphosarcoma NOS,BBgC.12
Non-brain cancer,Read2,[M]Lymphoid leukaemia NOS,BBr2000
Non-brain cancer,Read2,[M]Lymphoid leukaemias,BBr2.00
Non-brain cancer,Read2,[M]Lymphoma NOS,BBg1.11
Non-brain cancer,Read2,"[M]Lymphoma, diffuse or NOS",BBgz.00
Non-brain cancer,Read2,"[M]Lymphoma, nodular or follicular NOS",BBkz.00
Non-brain cancer,Read2,"[M]Lymphomas, nodular or follicular",BBk..00
Non-brain cancer,Read2,"[M]Lymphomas, NOS or diffuse",BBg..00
Non-brain cancer,Read2,[M]Lymphosarcoma NOS,BBg6.00
Non-brain cancer,Read2,"[M]Malig lymp, follicular centre cell, cleaved, follicular",BBk5.00
Non-brain cancer,Read2,"[M]Malig lymp,follicular centre cell,noncleaved,follicular",BBk8.00
Non-brain cancer,Read2,"[M]Malig lymphoma, follicular centre cell, non-cleaved NOS",BBgK.00
Non-brain cancer,Read2,"[M]Malig lymphoma, lymphocytic, intermediate different NOS",BBgD.00
Non-brain cancer,Read2,"[M]Malig lymphoma, lymphocytic, well differentiated,nodular",BBk3.00
Non-brain cancer,Read2,"[M]Malign lymphoma,lymphocytic,intermediate differn, diffuse",BBgN.00
Non-brain cancer,Read2,[M]Malignant lymphoma NOS,BBg1.00
Non-brain cancer,Read2,"[M]Malignant lymphoma, centroblastic type NOS",BBgJ.00
Non-brain cancer,Read2,"[M]Malignant lymphoma, centroblastic type, follicular",BBk7.00
Non-brain cancer,Read2,"[M]Malignant lymphoma, centroblastic-centrocytic, diffuse",BBgA.00
Non-brain cancer,Read2,"[M]Malignant lymphoma, centroblastic-centrocytic, follicular",BBk2.00
Non-brain cancer,Read2,"[M]Malignant lymphoma, centrocytic",BBgE.00
Non-brain cancer,Read2,"[M]Malignant lymphoma, convoluted cell type NOS",BBg5.00
Non-brain cancer,Read2,"[M]Malignant lymphoma, diffuse NOS",BBg1000
Non-brain cancer,Read2,"[M]Malignant lymphoma, follicular centre cell NOS",BBgB.00
Non-brain cancer,Read2,"[M]Malignant lymphoma, immunoblastic type",BBg8.00
Non-brain cancer,Read2,"[M]Malignant lymphoma, large cell, cleaved, diffuse",BBgS.00
Non-brain cancer,Read2,"[M]Malignant lymphoma, large cell, diffuse NOS",BBgR.00
Non-brain cancer,Read2,"[M]Malignant lymphoma, large cell, noncleaved, diffuse",BBgT.00
Non-brain cancer,Read2,"[M]Malignant lymphoma, lymphocytic, poorly different NOS",BBgG.00
Non-brain cancer,Read2,"[M]Malignant lymphoma, lymphocytic, well differentiated NOS",BBgC.00
Non-brain cancer,Read2,"[M]Malignant lymphoma, lymphoplasmacytoid type",BBg7.00
Non-brain cancer,Read2,"[M]Malignant lymphoma, mixed small and large cell, diffuse",BBgP.00
Non-brain cancer,Read2,"[M]Malignant lymphoma, nodular NOS",BBk0.00
Non-brain cancer,Read2,"[M]Malignant lymphoma, non Hodgkin's type",BBg2.00
Non-brain cancer,Read2,"[M]Malignant lymphoma, small cell, noncleaved, diffuse",BBgV.00
Non-brain cancer,Read2,"[M]Malignant lymphoma, small cleaved cell, diffuse",BBgM.00
Non-brain cancer,Read2,"[M]Malignant lymphoma, small lymphocytic NOS",BBgL.00
Non-brain cancer,Read2,"[M]Malignant lymphoma, stem cell type",BBg4.00
Non-brain cancer,Read2,"[M]Malignant lymphoma, undifferentiated cell type NOS",BBg3.00
Non-brain cancer,Read2,[M]Malignant lymphomatous polyposis,BBgQ.00
Non-brain cancer,Read2,[M]Malignant melanoma in giant pigmented naevus,BBEM.00
Non-brain cancer,Read2,[M]Malignant melanoma in Hutchinson's melanotic freckle,BBEG.00
Non-brain cancer,Read2,[M]Malignant melanoma in junctional naevus,BBEC.00
Non-brain cancer,Read2,[M]Malignant melanoma NOS,BBE1.00
Non-brain cancer,Read2,"[M]Malignant melanoma, regressing",BBE1000
Non-brain cancer,Read2,[M]Malignant reticulosis,BBm1.11
Non-brain cancer,Read2,[M]Megakaryocytic leukaemia,BBrA100
Non-brain cancer,Read2,[M]Melanocarcinoma,BBE1.11
Non-brain cancer,Read2,[M]Melanoma NOS,BBE1.12
Non-brain cancer,Read2,[M]Melanosarcoma NOS,BBE1.13
Non-brain cancer,Read2,[M]Mesenchymal chondrosarcoma,BBW9.00
Non-brain cancer,Read2,"[M]Mesothelioma, biphasic type, malignant",BBP7.00
Non-brain cancer,Read2,"[M]Mesothelioma, malignant",BBP1.00
Non-brain cancer,Read2,[M]Metastatic signet ring cell carcinoma,BB85100
Non-brain cancer,Read2,[M]Metatypical carcinoma,BB36.00
Non-brain cancer,Read2,[M]Microglioma,BBm0.00
Non-brain cancer,Read2,[M]Miscellaneous leukaemia NOS,BBrAz00
Non-brain cancer,Read2,[M]Miscellaneous leukaemias,BBrA.00
Non-brain cancer,Read2,[M]Mixed epithelioid and spindle melanoma,BBET.00
Non-brain cancer,Read2,[M]Mixed islet cell and exocrine adenocarcinoma,BB5B600
Non-brain cancer,Read2,[M]Monocytic leukaemia NOS,BBr9000
Non-brain cancer,Read2,[M]Monocytoid B-cell lymphoma,BBv0.00
Non-brain cancer,Read2,[M]Monostotic myeloma,BBn2.11
Non-brain cancer,Read2,[M]Multicentric basal cell carcinoma,BB32.00
Non-brain cancer,Read2,[M]Multiple myeloma,BBn0.11
Non-brain cancer,Read2,[M]Mycosis fungoides,BBl..00
Non-brain cancer,Read2,[M]Mycosis fungoides,BBl0.00
Non-brain cancer,Read2,[M]Mycosis fungoides NOS,BBlz.00
Non-brain cancer,Read2,[M]Myelodysplastic syndrome,BBv..00
Non-brain cancer,Read2,[M]Myeloid leukaemia NOS,BBr6000
Non-brain cancer,Read2,[M]Myeloid leukaemias,BBr6.00
Non-brain cancer,Read2,[M]Myeloma NOS,BBn0.12
Non-brain cancer,Read2,[M]Myelomatosis,BBn0.13
Non-brain cancer,Read2,[M]Myxoid chondrosarcoma,BBV9.00
Non-brain cancer,Read2,[M]Naegeli-type monocytic leukaemia,BBr6311
Non-brain cancer,Read2,"[M]Neoplasm, metastatic",BB03.00
Non-brain cancer,Read2,"[M]No microscopic confirmation tumour, clinically metastatic",BBy2.00
Non-brain cancer,Read2,[M]Nodular melanoma,BBE2.00
Non-brain cancer,Read2,[M]Non Hodgkins lymphoma,BBg2.11
Non-brain cancer,Read2,[M]Noninfiltrating intraductal papillary adenocarcinoma,BB96.00
Non-brain cancer,Read2,[M]Odontogenic fibrosarcoma,BBZN.11
Non-brain cancer,Read2,"[M]Odontogenic tumour, malignant",BBZ2.00
Non-brain cancer,Read2,[M]Olfactory neuroblastoma,BBcC.11
Non-brain cancer,Read2,[M]Olfactory neuroepithelioma,BBcD.11
Non-brain cancer,Read2,[M]Osteoblastic sarcoma,BBV1.11
Non-brain cancer,Read2,[M]Osteochondrosarcoma,BBV1.12
Non-brain cancer,Read2,"[M]Osteoclastoma, malignant",BBX1.12
Non-brain cancer,Read2,[M]Osteogenic sarcoma NOS,BBV1.13
Non-brain cancer,Read2,[M]Osteosarcoma in Paget's disease of bone,BBV5.00
Non-brain cancer,Read2,[M]Osteosarcoma NOS,BBV1.00
Non-brain cancer,Read2,[M]Other myeloid leukaemia NOS,BBr6z00
Non-brain cancer,Read2,[M]Paget's disease and infiltrating breast duct carcinoma,BB9K.00
Non-brain cancer,Read2,[M]Paget's disease and intraductal carcinoma of breast,BB9K000
Non-brain cancer,Read2,"[M]Paget's disease, breast",BB9J.11
Non-brain cancer,Read2,"[M]Paget's disease, mammary",BB9J.00
Non-brain cancer,Read2,[M]Parosteal osteosarcoma,BBV..12
Non-brain cancer,Read2,[M]Periosteal osteogenic sarcoma,BBV..13
Non-brain cancer,Read2,[M]Pigmented basal cell carcinoma,BB3G.00
Non-brain cancer,Read2,[M]Plasma cell leukaemia NOS,BBr3z00
Non-brain cancer,Read2,[M]Plasma cell leukaemias,BBr3.00
Non-brain cancer,Read2,[M]Plasma cell myeloma,BBn0.00
Non-brain cancer,Read2,[M]Plasma cell tumour NOS,BBnz.00
Non-brain cancer,Read2,"[M]Plasma cell tumour, malignant",BBn3.00
Non-brain cancer,Read2,[M]Plasma cell tumours,BBn..00
Non-brain cancer,Read2,[M]Plasmacytic myeloma,BBn0.14
Non-brain cancer,Read2,[M]Plasmacytoma NOS,BBn2.00
Non-brain cancer,Read2,[M]Polycythaemia rubra vera,BBs0.11
Non-brain cancer,Read2,[M]Polycythaemia vera,BBs0.00
Non-brain cancer,Read2,[M]Prolymphocytic leukaemia,BBr2500
Non-brain cancer,Read2,[M]Prolymphocytic lymphosarcoma,BBgH.00
Non-brain cancer,Read2,[M]Refractory anaemia+excess of blasts with transformation,BBmB.00
Non-brain cancer,Read2,[M]Renal cell carcinoma,BB5a000
Non-brain cancer,Read2,[M]Reticulosarcoma NOS,BBh0.00
Non-brain cancer,Read2,"[M]Reticulosarcoma, nodular",BBh2.00
Non-brain cancer,Read2,[M]Reticulosarcomas,BBh..00
Non-brain cancer,Read2,[M]Sarcomatoid mesothelioma,BBP3.11
Non-brain cancer,Read2,[M]Sebaceous adenocarcinoma,BB69100
Non-brain cancer,Read2,[M]Secondary carcinoma,BB13.11
Non-brain cancer,Read2,[M]Secondary neoplasm,BB03.11
Non-brain cancer,Read2,[M]Secretory breast carcinoma,BB94.11
Non-brain cancer,Read2,[M]Sezary's disease,BBl1.00
Non-brain cancer,Read2,[M]Skin appendage carcinoma,BB60100
Non-brain cancer,Read2,[M]Solitary myeloma,BBn2.12
Non-brain cancer,Read2,[M]Spindle cell melanoma NOS,BBEQ.00
Non-brain cancer,Read2,"[M]Spindle cell melanoma, type B",BBES.00
Non-brain cancer,Read2,[M]Squamous cell carcinoma of skin NOS,BB2A.13
Non-brain cancer,Read2,"[M]Squamous cell carcinoma, metastatic NOS",BB2B.00
Non-brain cancer,Read2,[M]Stem cell leukaemia,BBr0113
Non-brain cancer,Read2,"[M]Struma ovarii, malignant",BBQA100
Non-brain cancer,Read2,[M]Subacute leukaemia NOS,BBr0200
Non-brain cancer,Read2,[M]Subacute myeloid leukaemia,BBr6200
Non-brain cancer,Read2,[M]Superficial basal cell carcinoma,BB3C.00
Non-brain cancer,Read2,[M]Superficial spreading melanoma,BBEH.00
Non-brain cancer,Read2,[M]Sweat gland adenocarcinoma,BB61200
Non-brain cancer,Read2,[M]Telangiectatic osteosarcoma,BBV4.00
Non-brain cancer,Read2,[M]Thrombocytic leukaemia,BBrA111
Non-brain cancer,Read2,[M]Tibial adamantinoma,BBY1.11
Non-brain cancer,Read2,[M]True histiocytic lymphoma,BBm4.00
Non-brain cancer,Read2,[M]Waldenstrom's macroglobulinaemia,BBmK.00
Non-brain cancer,Read2,[V]Follow-up examination after chemotherapy for leukaemia,ZV67811
Non-brain cancer,Read2,[V]Personal history of Hodgkin's disease,ZV10711
Non-brain cancer,Read2,[V]Personal history of leukaemia,ZV10600
Non-brain cancer,Read2,[V]Personal history of lymphoid leukaemia,ZV10611
Non-brain cancer,Read2,[V]Personal history of malig neop of gastrointestinal tract,ZV10000
Non-brain cancer,Read2,[V]Personal history of malig neop of gastrointestinal tract,ZV10012
Non-brain cancer,Read2,[V]Personal history of malig neop of trachea/bronchus/lung,ZV10100
Non-brain cancer,Read2,[V]Personal history of malignant neoplasm of anus,ZV10011
Non-brain cancer,Read2,[V]Personal history of malignant neoplasm of bladder,ZV10511
Non-brain cancer,Read2,[V]Personal history of malignant neoplasm of bone,ZV10y11
Non-brain cancer,Read2,[V]Personal history of malignant neoplasm of breast,ZV10300
Non-brain cancer,Read2,[V]Personal history of malignant neoplasm of bronchus,ZV10111
Non-brain cancer,Read2,[V]Personal history of malignant neoplasm of cervix uteri,ZV10411
Non-brain cancer,Read2,[V]Personal history of malignant neoplasm of kidney,ZV10512
Non-brain cancer,Read2,[V]Personal history of malignant neoplasm of kidney,ZV10513
Non-brain cancer,Read2,[V]Personal history of malignant neoplasm of large intestine,ZV10014
Non-brain cancer,Read2,[V]Personal history of malignant neoplasm of liver,ZV10015
Non-brain cancer,Read2,[V]Personal history of malignant neoplasm of lung,ZV10112
Non-brain cancer,Read2,[V]Personal history of malignant neoplasm of oesophagus,ZV10016
Non-brain cancer,Read2,[V]Personal history of malignant neoplasm of ovary,ZV10414
Non-brain cancer,Read2,[V]Personal history of malignant neoplasm of prostate,ZV10415
Non-brain cancer,Read2,[V]Personal history of malignant neoplasm of rectum,ZV10017
Non-brain cancer,Read2,[V]Personal history of malignant neoplasm of skin,ZV10y14
Non-brain cancer,Read2,[V]Personal history of malignant neoplasm of stomach,ZV10018
Non-brain cancer,Read2,[V]Personal history of malignant neoplasm of testis,ZV10416
Non-brain cancer,Read2,[V]Personal history of malignant neoplasm of thyroid,ZV10y15
Non-brain cancer,Read2,[V]Personal history of malignant neoplasm of tongue,ZV10019
Non-brain cancer,Read2,[V]Personal history of malignant neoplasm of tongue,ZV10y16
Non-brain cancer,Read2,[V]Personal history of malignant neoplasm of uterine body,ZV10417
Non-brain cancer,Read2,[V]Personal history of myeloid leukaemia,ZV10613
Non-brain cancer,Read2,[X]2ndry malignant neoplasm/bladder+oth+unsp urinary organs,ByuC500
Non-brain cancer,Read2,[X]2ndry malignant neoplasm/oth+unspec parts/nervous system,ByuC600
Non-brain cancer,Read2,[X]2ndry+unspcf malignant neoplasm lymph nodes/multi regions,ByuC200
Non-brain cancer,Read2,"[X]Diffuse non-Hodgkin's lymphoma, unspecified",ByuDC00
Non-brain cancer,Read2,[X]HIV disease resulting in other non-Hodgkin's lymphoma,AyuC600
Non-brain cancer,Read2,[X]Kaposi's sarcoma of other sites,Byu5B00
Non-brain cancer,Read2,"[X]Kaposi's sarcoma, unspecified",Byu5300
Non-brain cancer,Read2,"[X]Mal neoplasm/connective+soft tissue of trunk,unspecified",Byu5800
Non-brain cancer,Read2,"[X]Mal neoplasm/lymphoid,haematopoietic+related tissu,unspcf",ByuDB00
Non-brain cancer,Read2,[X]Mal neoplasm/overlap les/periph nerv+autonomic nerv systm,Byu5500
Non-brain cancer,Read2,[X]Malignant melanoma of other+unspecified parts of face,Byu4000
Non-brain cancer,Read2,"[X]Malignant melanoma of skin, unspecified",Byu4100
Non-brain cancer,Read2,[X]Malignant neoplasm of bone and articular cartilage,Byu3.00
Non-brain cancer,Read2,[X]Malignant neoplasm of breast,Byu6.00
Non-brain cancer,Read2,"[X]Malignant neoplasm of bronchus or lung, unspecified",Byu2000
Non-brain cancer,Read2,"[X]Malignant neoplasm of endocrine gland, unspecified",ByuB100
Non-brain cancer,Read2,"[X]Malignant neoplasm of female genital organ, unspecified",Byu7300
Non-brain cancer,Read2,"[X]Malignant neoplasm of ill-defined, secondary and unspeci",ByuC.00
Non-brain cancer,Read2,"[X]Malignant neoplasm of intestinal tract, part unspecified",Byu1200
Non-brain cancer,Read2,"[X]Malignant neoplasm of lip, oral cavity and pharynx",Byu0.00
Non-brain cancer,Read2,"[X]Malignant neoplasm of male genital organ, unspecified",Byu8200
Non-brain cancer,Read2,"[X]Malignant neoplasm of mediastinum, part unspecified",Byu2500
Non-brain cancer,Read2,[X]Malignant neoplasm of other specified sites,ByuC000
Non-brain cancer,Read2,"[X]Malignant neoplasm of peritoneum, unspecified",Byu5700
Non-brain cancer,Read2,"[X]Malignant neoplasm of skin, unspecified",Byu4300
Non-brain cancer,Read2,[X]Malignant neoplasm of thyroid and other endocrine glands,ByuB.00
Non-brain cancer,Read2,"[X]Malignant neoplasm of urinary organ, unspecified",Byu9000
Non-brain cancer,Read2,"[X]Malignant neoplasm of uterine adnexa, unspecified",Byu7000
Non-brain cancer,Read2,[X]Malignant neoplasm overlapping lesion of skin,Byu5A00
Non-brain cancer,Read2,[X]Malignant neoplasm without specification of site,ByuC800
Non-brain cancer,Read2,"[X]Malignant neoplasm/bone+articular cartilage, unspecified",Byu3300
Non-brain cancer,Read2,"[X]Malignant neoplasm/bones+articular cartilage/limb,unspfd",Byu3100
Non-brain cancer,Read2,"[X]Malignant neoplasm/connective + soft tissue,unspecified",Byu5900
Non-brain cancer,Read2,[X]Malignant neoplasm/ill-defined sites within resp system,Byu2400
Non-brain cancer,Read2,[X]Malignant neoplasm/other specified female genital organs,Byu7100
Non-brain cancer,Read2,[X]Malignant neoplasm/other specified male genital organs,Byu8000
Non-brain cancer,Read2,[X]Malignant neoplasm/overlap lesion/bone+articulr cartilage,Byu3200
Non-brain cancer,Read2,[X]Malignant neoplasm/overlap lesion/other+ill-defined sites,ByuC100
Non-brain cancer,Read2,"[X]Malignant neoplasm/peripheral nerves of trunk,unspecified",Byu5400
Non-brain cancer,Read2,[X]Malignant neoplasms/independent (primary) multiple sites,ByuE.00
Non-brain cancer,Read2,[X]Malignant neoplasms/independent(primary)multiple sites,ByuE000
Non-brain cancer,Read2,[X]Malignant neoplsm/ill-defin sites within digestive system,Byu1300
Non-brain cancer,Read2,[X]Melanoma and other malignant neoplasms of skin,Byu4.00
Non-brain cancer,Read2,"[X]Myelodysplastic syndrome, unspecified",ByuHD00
Non-brain cancer,Read2,[X]Non-Hodgkin's lymphoma NOS,ByuDF11
Non-brain cancer,Read2,"[X]Non-Hodgkin's lymphoma, unspecified type",ByuDF00
Non-brain cancer,Read2,[X]Oth and unspecif peripheral & cutaneous T-cell lymphomas,ByuDD00
Non-brain cancer,Read2,[X]Oth malignant neoplasm/skin of oth+unspecfd parts of face,Byu4200
Non-brain cancer,Read2,"[X]Oth spcf mal neoplsm/lymphoid,haematopoietic+rltd tissue",ByuDA00
Non-brain cancer,Read2,[X]Other carcinoma in situ of breast,ByuFG00
Non-brain cancer,Read2,[X]Other Hodgkin's disease,ByuD000
Non-brain cancer,Read2,[X]Other leukaemia of unspecified cell type,ByuD900
Non-brain cancer,Read2,[X]Other lymphoid leukaemia,ByuD500
Non-brain cancer,Read2,[X]Other malignant immunoproliferative diseases,ByuD400
Non-brain cancer,Read2,[X]Other monocytic leukaemia,ByuD700
Non-brain cancer,Read2,[X]Other myeloid leukaemia,ByuD600
Non-brain cancer,Read2,[X]Other specified carcinomas of liver,Byu1100
Non-brain cancer,Read2,[X]Other specified leukaemias,ByuD800
Non-brain cancer,Read2,[X]Other specified types of non-Hodgkin's lymphoma,ByuD300
Non-brain cancer,Read2,[X]Other types of diffuse non-Hodgkin's lymphoma,ByuD200
Non-brain cancer,Read2,[X]Other types of follicular non-Hodgkin's lymphoma,ByuD100
Non-brain cancer,Read2,[X]Secondary malignant neoplasm of other specified sites,ByuC700
Non-brain cancer,Read2,[X]Secondary malignant neoplasm/oth+unspc respiratory organs,ByuC300
Non-brain cancer,Read2,[X]Secondary malignant neoplasm/oth+unspcfd digestive organs,ByuC400
Non-brain cancer,Read2,[X]Unspecified B-cell non-Hodgkin's lymphoma,ByuDE00
Non-brain cancer,Read2,5Q minus syndrome,B937900
Non-brain cancer,Read2,Acute erythraemia and erythroleukaemia,B670.00
Non-brain cancer,Read2,Acute leukaemia NOS,B680.00
Non-brain cancer,Read2,Acute lymphoid leukaemia,B640.00
Non-brain cancer,Read2,Acute monoblastic leukaemia,B663.00
Non-brain cancer,Read2,Acute monocytic leukaemia,B660.00
Non-brain cancer,Read2,Acute myeloblastic leukaemia,B654.00
Non-brain cancer,Read2,Acute myelofibrosis,B675.00
Non-brain cancer,Read2,Acute myeloid leukaemia,B650.00
Non-brain cancer,Read2,Acute myelomonocytic leukaemia,B690.00
Non-brain cancer,Read2,Acute panmyelosis,B674.00
Non-brain cancer,Read2,Acute promyelocytic leukaemia,B65y100
Non-brain cancer,Read2,Adult T-cell leukaemia,B64y200
Non-brain cancer,Read2,Adult T-cell lymphoma/leukaemia (HTLV-1-associated),B64y500
Non-brain cancer,Read2,Alpha heavy chain disease,C333100
Non-brain cancer,Read2,Anaemia in ovarian carcinoma,D212000
Non-brain cancer,Read2,Anal carcinoma,B142.11
Non-brain cancer,Read2,"Anaplastic large cell lymphoma, ALK-negative",B62E200
Non-brain cancer,Read2,"Anaplastic large cell lymphoma, ALK-positive",B62E100
Non-brain cancer,Read2,Angioimmunoblastic T-cell lymphoma,B62E900
Non-brain cancer,Read2,Angiosarcoma of spleen,B1z1000
Non-brain cancer,Read2,"Atypical chronic myeloid leukaemia, BCR/ABL negative",B651300
Non-brain cancer,Read2,Basal cell carcinoma,B33..11
Non-brain cancer,Read2,B-cell acute lymphoblastic leukaemia,B640000
Non-brain cancer,Read2,B-cell chronic lymphocytic leukaemia,B641000
Non-brain cancer,Read2,B-cell prolymphocytic leukaemia,B64y300
Non-brain cancer,Read2,Benign paraproteinaemia,C332200
Non-brain cancer,Read2,Blastic NK-cell lymphoma,B62E800
Non-brain cancer,Read2,Breslow depth staging for melanoma,4M3..00
Non-brain cancer,Read2,Burkitt's lymphoma,B602.00
Non-brain cancer,Read2,Burkitt's lymphoma NOS,B602z00
Non-brain cancer,Read2,Burkitt's lymphoma of intra-abdominal lymph nodes,B602300
Non-brain cancer,Read2,Burkitt's lymphoma of intrathoracic lymph nodes,B602200
Non-brain cancer,Read2,"Burkitt's lymphoma of lymph nodes of head, face and neck",B602100
Non-brain cancer,Read2,Burkitt's lymphoma of lymph nodes of inguinal region and leg,B602500
Non-brain cancer,Read2,Ca female breast,B34..11
Non-brain cancer,Read2,Cancer of bowel,B1z0.11
Non-brain cancer,Read2,Cancer of ovary,B440.11
Non-brain cancer,Read2,Carcinoma common bile duct,B161211
Non-brain cancer,Read2,Carcinoma gallbladder,B160.11
Non-brain cancer,Read2,Carcinoma in situ of breast,B830.00
Non-brain cancer,Read2,Carcinoma of caecum,B134.11
Non-brain cancer,Read2,Carcinoma of lip,B00..11
Non-brain cancer,Read2,"Carcinoma of lip, oral cavity and pharynx",B0...11
Non-brain cancer,Read2,Carcinoma of other and unspecified sites,B5...11
Non-brain cancer,Read2,Carcinoma of rectum,B141.11
Non-brain cancer,Read2,Carcinomatosis,B590.11
Non-brain cancer,Read2,Cervical carcinoma (uterus),B41..11
Non-brain cancer,Read2,Chloroma,B653000
Non-brain cancer,Read2,Choriocarcinoma,B420.00
Non-brain cancer,Read2,Chronic erythraemia,B671.00
Non-brain cancer,Read2,Chronic granulocytic leukaemia,B651.11
Non-brain cancer,Read2,Chronic leukaemia NOS,B681.00
Non-brain cancer,Read2,Chronic lymphatic leukaemia,B641.11
Non-brain cancer,Read2,Chronic lymphocytic leukaemia of B-cell type,B641011
Non-brain cancer,Read2,Chronic lymphoid leukaemia,B641.00
Non-brain cancer,Read2,Chronic monocytic leukaemia,B661.00
Non-brain cancer,Read2,Chronic myeloid leukaemia,B651.00
Non-brain cancer,Read2,Chronic myeloid leukaemia NOS,B651z00
Non-brain cancer,Read2,"Chronic myeloid leukaemia, BCR/ABL positive",B651100
Non-brain cancer,Read2,Chronic myelomonocytic leukaemia,B691.00
Non-brain cancer,Read2,Chronic neutrophilic leukaemia,B651200
Non-brain cancer,Read2,Clark melanoma level 1,4M70.00
Non-brain cancer,Read2,Clark melanoma level 2,4M71.00
Non-brain cancer,Read2,Clark melanoma level 3,4M72.00
Non-brain cancer,Read2,Clark melanoma level 4,4M73.00
Non-brain cancer,Read2,Clark melanoma level 5,4M74.00
Non-brain cancer,Read2,Clinical stage A chronic lymphocytic leukaemia,B641100
Non-brain cancer,Read2,Clinical stage B chronic lymphocytic leukaemia,B641200
Non-brain cancer,Read2,Clinical stage C chronic lymphocytic leukaemia,B641300
Non-brain cancer,Read2,Colonic cancer,B13z.11
Non-brain cancer,Read2,Cutaneous follicle centre lymphoma,B628600
Non-brain cancer,Read2,Cutaneous T-cell lymphoma,B62E300
Non-brain cancer,Read2,Dermatofibrosarcoma protuberans,B339.00
Non-brain cancer,Read2,Di Guglielmo's disease,B670.11
Non-brain cancer,Read2,Diffuse follicle centre lymphoma,B628500
Non-brain cancer,Read2,Diffuse large B-cell lymphoma,B627E00
Non-brain cancer,Read2,Diffuse non-Hodgkin mixed sml & lge cell (diffuse) lymphoma,B627500
Non-brain cancer,Read2,Diffuse non-Hodgkin's centroblastic lymphoma,B627D00
Non-brain cancer,Read2,Diffuse non-Hodgkin's immunoblastic (diffuse) lymphoma,B627600
Non-brain cancer,Read2,Diffuse non-Hodgkin's large cell lymphoma,B627A00
Non-brain cancer,Read2,Diffuse non-Hodgkin's lymphoblastic (diffuse) lymphoma,B627700
Non-brain cancer,Read2,Diffuse non-Hodgkin's lymphoma undifferentiated (diffuse),B627800
Non-brain cancer,Read2,"Diffuse non-Hodgkin's lymphoma, unspecified",B627X00
Non-brain cancer,Read2,Diffuse non-Hodgkin's small cell (diffuse) lymphoma,B627300
Non-brain cancer,Read2,Diffuse non-Hodgkin's small cleaved cell (diffuse) lymphoma,B627400
Non-brain cancer,Read2,Disseminated malignancy NOS,B590.00
Non-brain cancer,Read2,Enteropathy-associated T-cell lymphoma,B62E600
Non-brain cancer,Read2,Eosinophilic granuloma,C37y100
Non-brain cancer,Read2,Epithelioma basal cell,B33..16
Non-brain cancer,Read2,Excision biopsy of basal cell carcinoma,7G05D00
Non-brain cancer,Read2,Excision biopsy of rodent ulcer,7G05600
Non-brain cancer,Read2,Excision malignant skin tumour,7G03K00
Non-brain cancer,Read2,Excision of melanoma,7G03J00
Non-brain cancer,Read2,Extranod marg zone B-cell lymphom mucosa-assoc lymphoid tiss,B627F00
Non-brain cancer,Read2,"Extranodal NK/T-cell lymphoma, nasal type",B62E400
